author_name,affliations,article_title,doi,volume
O. Cepek,,On Minimum Representations of Matched Formulas,10.1613/jair.4517,Vol. 51 (2014)
S. Gursky,,On Minimum Representations of Matched Formulas,10.1613/jair.4517,Vol. 51 (2014)
P. Kucera,,On Minimum Representations of Matched Formulas,10.1613/jair.4517,Vol. 51 (2014)
P. Nguyen,,Using Meta-mining to Support Data Mining Workflow Planning and Optimization,10.1613/jair.4377,Vol. 51 (2014)
M. Hilario,,Using Meta-mining to Support Data Mining Workflow Planning and Optimization,10.1613/jair.4377,Vol. 51 (2014)
A. Kalousis,,Using Meta-mining to Support Data Mining Workflow Planning and Optimization,10.1613/jair.4377,Vol. 51 (2014)
I. Kash,,No Agent Left Behind: Dynamic Fair Division of Multiple Resources,10.1613/jair.4405,Vol. 51 (2014)
A. D. Procaccia,,No Agent Left Behind: Dynamic Fair Division of Multiple Resources,10.1613/jair.4405,Vol. 51 (2014)
N. Shah,,No Agent Left Behind: Dynamic Fair Division of Multiple Resources,10.1613/jair.4405,Vol. 51 (2014)
D. Cohen,,Iterative Plan Construction for the Workflow Satisfiability Problem,10.1613/jair.4435,Vol. 51 (2014)
J. Crampton,,Iterative Plan Construction for the Workflow Satisfiability Problem,10.1613/jair.4435,Vol. 51 (2014)
A. Gagarin,,Iterative Plan Construction for the Workflow Satisfiability Problem,10.1613/jair.4435,Vol. 51 (2014)
G. Gutin,,Iterative Plan Construction for the Workflow Satisfiability Problem,10.1613/jair.4435,Vol. 51 (2014)
M. Jones,,Iterative Plan Construction for the Workflow Satisfiability Problem,10.1613/jair.4435,Vol. 51 (2014)
A. G. Cohn,,Reasoning about Topological and Cardinal Direction Relations Between 2-Dimensional Spatial Objects,10.1613/jair.4513,
S. Li,,Reasoning about Topological and Cardinal Direction Relations Between 2-Dimensional Spatial Objects,10.1613/jair.4513,
W. Liu,,Reasoning about Topological and Cardinal Direction Relations Between 2-Dimensional Spatial Objects,10.1613/jair.4513,
J. Renz,,Reasoning about Topological and Cardinal Direction Relations Between 2-Dimensional Spatial Objects,10.1613/jair.4513,
